LOCATION	INDICATOR	SUBJECT	MEASURE	FREQUENCY	TIME	UN_RATE	Flag Codes
FIN	HUR	TOT	PC_LF	M	2019-12	6.6	
FIN	HUR	TOT	PC_LF	M	2020-01	6.8	
FIN	HUR	TOT	PC_LF	M	2020-02	6.6	
FIN	HUR	TOT	PC_LF	M	2020-03	6.7	
FIN	HUR	TOT	PC_LF	M	2020-04	7.1	
FIN	HUR	TOT	PC_LF	M	2020-05	8.6	
FIN	HUR	TOT	PC_LF	M	2020-06	7.6	
FIN	HUR	TOT	PC_LF	M	2020-07	8.3	
FIN	HUR	TOT	PC_LF	M	2020-08	8.8	
FIN	HUR	TOT	PC_LF	M	2020-09	8.2	
FIN	HUR	TOT	PC_LF	M	2020-10	8.2	
FIN	HUR	TOT	PC_LF	M	2020-11	7.9	
FIN	HUR	TOT	PC_LF	M	2020-12	8.2	
FIN	HUR	TOT	PC_LF	M	2021-01	8.4	
FIN	HUR	TOT	PC_LF	M	2021-02	8	
FIN	HUR	TOT	PC_LF	M	2021-03	7.5	
FIN	HUR	TOT	PC_LF	M	2021-04	8.5	
FIN	HUR	TOT	PC_LF	M	2021-05	8.2	
FIN	HUR	TOT	PC_LF	M	2021-06	7.7	
FIN	HUR	TOT	PC_LF	M	2021-07	7.7	
FIN	HUR	TOT	PC_LF	M	2021-08	7.1	
FIN	HUR	TOT	PC_LF	M	2021-09	7.7	
FIN	HUR	TOT	PC_LF	M	2021-10	6.7	
FIN	HUR	TOT	PC_LF	M	2021-11	6.8	
FIN	HUR	TOT	PC_LF	M	2021-12	7.2	
FRA	HUR	TOT	PC_LF	M	2019-12	8.1	
FRA	HUR	TOT	PC_LF	M	2020-01	8.1	
FRA	HUR	TOT	PC_LF	M	2020-02	7.7	
FRA	HUR	TOT	PC_LF	M	2020-03	7.5	
FRA	HUR	TOT	PC_LF	M	2020-04	7.5	
FRA	HUR	TOT	PC_LF	M	2020-05	7.1	
FRA	HUR	TOT	PC_LF	M	2020-06	7.5	
FRA	HUR	TOT	PC_LF	M	2020-07	8.7	
FRA	HUR	TOT	PC_LF	M	2020-08	9	
FRA	HUR	TOT	PC_LF	M	2020-09	9	
FRA	HUR	TOT	PC_LF	M	2020-10	8.3	
FRA	HUR	TOT	PC_LF	M	2020-11	8	
FRA	HUR	TOT	PC_LF	M	2020-12	7.8	
FRA	HUR	TOT	PC_LF	M	2021-01	7.9	
FRA	HUR	TOT	PC_LF	M	2021-02	8.1	
FRA	HUR	TOT	PC_LF	M	2021-03	8.1	
FRA	HUR	TOT	PC_LF	M	2021-04	8.3	
FRA	HUR	TOT	PC_LF	M	2021-05	8.3	
FRA	HUR	TOT	PC_LF	M	2021-06	8.1	
FRA	HUR	TOT	PC_LF	M	2021-07	8	
FRA	HUR	TOT	PC_LF	M	2021-08	7.9	
FRA	HUR	TOT	PC_LF	M	2021-09	7.7	
FRA	HUR	TOT	PC_LF	M	2021-10	7.6	
FRA	HUR	TOT	PC_LF	M	2021-11	7.5	
FRA	HUR	TOT	PC_LF	M	2021-12	7.4	
DEU	HUR	TOT	PC_LF	M	2019-12	3.3	
DEU	HUR	TOT	PC_LF	M	2020-01	3.4	
DEU	HUR	TOT	PC_LF	M	2020-02	3.5	
DEU	HUR	TOT	PC_LF	M	2020-03	3.6	
DEU	HUR	TOT	PC_LF	M	2020-04	3.7	
DEU	HUR	TOT	PC_LF	M	2020-05	3.8	
DEU	HUR	TOT	PC_LF	M	2020-06	3.9	
DEU	HUR	TOT	PC_LF	M	2020-07	4	
DEU	HUR	TOT	PC_LF	M	2020-08	4.1	
DEU	HUR	TOT	PC_LF	M	2020-09	4.1	
DEU	HUR	TOT	PC_LF	M	2020-10	4.1	
DEU	HUR	TOT	PC_LF	M	2020-11	4.1	
DEU	HUR	TOT	PC_LF	M	2020-12	4	B
DEU	HUR	TOT	PC_LF	M	2021-01	4	
DEU	HUR	TOT	PC_LF	M	2021-02	3.9	P
DEU	HUR	TOT	PC_LF	M	2021-03	3.8	P
DEU	HUR	TOT	PC_LF	M	2021-04	3.7	P
DEU	HUR	TOT	PC_LF	M	2021-05	3.6	P
DEU	HUR	TOT	PC_LF	M	2021-06	3.5	P
DEU	HUR	TOT	PC_LF	M	2021-07	3.4	P
DEU	HUR	TOT	PC_LF	M	2021-08	3.4	P
DEU	HUR	TOT	PC_LF	M	2021-09	3.3	P
DEU	HUR	TOT	PC_LF	M	2021-10	3.3	P
DEU	HUR	TOT	PC_LF	M	2021-11	3.2	P
DEU	HUR	TOT	PC_LF	M	2021-12	3.2	P
GRC	HUR	TOT	PC_LF	M	2019-12	16.4	
GRC	HUR	TOT	PC_LF	M	2020-01	16.1	
GRC	HUR	TOT	PC_LF	M	2020-02	16	
GRC	HUR	TOT	PC_LF	M	2020-03	15.7	
GRC	HUR	TOT	PC_LF	M	2020-04	15.7	
GRC	HUR	TOT	PC_LF	M	2020-05	17.4	
GRC	HUR	TOT	PC_LF	M	2020-06	17.3	
GRC	HUR	TOT	PC_LF	M	2020-07	16.8	
GRC	HUR	TOT	PC_LF	M	2020-08	17.3	
GRC	HUR	TOT	PC_LF	M	2020-09	16.7	
GRC	HUR	TOT	PC_LF	M	2020-10	16.4	
GRC	HUR	TOT	PC_LF	M	2020-11	16.1	
GRC	HUR	TOT	PC_LF	M	2020-12	15.6	B
GRC	HUR	TOT	PC_LF	M	2021-01	16.4	
GRC	HUR	TOT	PC_LF	M	2021-02	15.7	
GRC	HUR	TOT	PC_LF	M	2021-03	17.1	
GRC	HUR	TOT	PC_LF	M	2021-04	17.3	
GRC	HUR	TOT	PC_LF	M	2021-05	15.7	
GRC	HUR	TOT	PC_LF	M	2021-06	15	
GRC	HUR	TOT	PC_LF	M	2021-07	14.3	
GRC	HUR	TOT	PC_LF	M	2021-08	13.7	
GRC	HUR	TOT	PC_LF	M	2021-09	13.2	
GRC	HUR	TOT	PC_LF	M	2021-10	13.5	
GRC	HUR	TOT	PC_LF	M	2021-11	13.3	
GRC	HUR	TOT	PC_LF	M	2021-12	12.7	
HUN	HUR	TOT	PC_LF	M	2019-12	3	
HUN	HUR	TOT	PC_LF	M	2020-01	3.6	
HUN	HUR	TOT	PC_LF	M	2020-02	3.5	
HUN	HUR	TOT	PC_LF	M	2020-03	3.4	
HUN	HUR	TOT	PC_LF	M	2020-04	3.7	
HUN	HUR	TOT	PC_LF	M	2020-05	4.9	
HUN	HUR	TOT	PC_LF	M	2020-06	4.9	
HUN	HUR	TOT	PC_LF	M	2020-07	4.3	
HUN	HUR	TOT	PC_LF	M	2020-08	4.2	
HUN	HUR	TOT	PC_LF	M	2020-09	4.3	
HUN	HUR	TOT	PC_LF	M	2020-10	4	
HUN	HUR	TOT	PC_LF	M	2020-11	4.3	
HUN	HUR	TOT	PC_LF	M	2020-12	4.2	
HUN	HUR	TOT	PC_LF	M	2021-01	4.5	
HUN	HUR	TOT	PC_LF	M	2021-02	4.5	
HUN	HUR	TOT	PC_LF	M	2021-03	4	
HUN	HUR	TOT	PC_LF	M	2021-04	4.1	
HUN	HUR	TOT	PC_LF	M	2021-05	4.2	
HUN	HUR	TOT	PC_LF	M	2021-06	4.1	
HUN	HUR	TOT	PC_LF	M	2021-07	4.1	
HUN	HUR	TOT	PC_LF	M	2021-08	4.1	
HUN	HUR	TOT	PC_LF	M	2021-09	3.6	
HUN	HUR	TOT	PC_LF	M	2021-10	3.9	
HUN	HUR	TOT	PC_LF	M	2021-11	3.8	
HUN	HUR	TOT	PC_LF	M	2021-12	3.7	
ISL	HUR	TOT	PC_LF	M	2019-12	4.5	
ISL	HUR	TOT	PC_LF	M	2020-01	4.7	
ISL	HUR	TOT	PC_LF	M	2020-02	5	
ISL	HUR	TOT	PC_LF	M	2020-03	5.3	
ISL	HUR	TOT	PC_LF	M	2020-04	5.6	
ISL	HUR	TOT	PC_LF	M	2020-05	5.9	
ISL	HUR	TOT	PC_LF	M	2020-06	6.1	
ISL	HUR	TOT	PC_LF	M	2020-07	6.3	
ISL	HUR	TOT	PC_LF	M	2020-08	6.4	
ISL	HUR	TOT	PC_LF	M	2020-09	6.6	
ISL	HUR	TOT	PC_LF	M	2020-10	6.8	
ISL	HUR	TOT	PC_LF	M	2020-11	6.9	
ISL	HUR	TOT	PC_LF	M	2020-12	6.9	
ISL	HUR	TOT	PC_LF	M	2021-01	6.9	
ISL	HUR	TOT	PC_LF	M	2021-02	6.9	
ISL	HUR	TOT	PC_LF	M	2021-03	6.9	
ISL	HUR	TOT	PC_LF	M	2021-04	6.7	
ISL	HUR	TOT	PC_LF	M	2021-05	6.3	
ISL	HUR	TOT	PC_LF	M	2021-06	5.9	
ISL	HUR	TOT	PC_LF	M	2021-07	5.5	
ISL	HUR	TOT	PC_LF	M	2021-08	5.2	
ISL	HUR	TOT	PC_LF	M	2021-09	5	
ISL	HUR	TOT	PC_LF	M	2021-10	4.9	
ISL	HUR	TOT	PC_LF	M	2021-11	4.9	
ISL	HUR	TOT	PC_LF	M	2021-12	4.9	
IRL	HUR	TOT	PC_LF	M	2019-12	4.8	
IRL	HUR	TOT	PC_LF	M	2020-01	4.9	
IRL	HUR	TOT	PC_LF	M	2020-02	4.9	
IRL	HUR	TOT	PC_LF	M	2020-03	5	
IRL	HUR	TOT	PC_LF	M	2020-04	4.7	
IRL	HUR	TOT	PC_LF	M	2020-05	5	
IRL	HUR	TOT	PC_LF	M	2020-06	5.6	
IRL	HUR	TOT	PC_LF	M	2020-07	6.7	
IRL	HUR	TOT	PC_LF	M	2020-08	7.2	
IRL	HUR	TOT	PC_LF	M	2020-09	7.2	
IRL	HUR	TOT	PC_LF	M	2020-10	6.4	
IRL	HUR	TOT	PC_LF	M	2020-11	6.2	
IRL	HUR	TOT	PC_LF	M	2020-12	6.2	
IRL	HUR	TOT	PC_LF	M	2021-01	7	
IRL	HUR	TOT	PC_LF	M	2021-02	7.5	
IRL	HUR	TOT	PC_LF	M	2021-03	7.8	
IRL	HUR	TOT	PC_LF	M	2021-04	7.6	
IRL	HUR	TOT	PC_LF	M	2021-05	6.9	
IRL	HUR	TOT	PC_LF	M	2021-06	6.3	
IRL	HUR	TOT	PC_LF	M	2021-07	5.8	
IRL	HUR	TOT	PC_LF	M	2021-08	5.4	
IRL	HUR	TOT	PC_LF	M	2021-09	5.2	
IRL	HUR	TOT	PC_LF	M	2021-10	5.2	
IRL	HUR	TOT	PC_LF	M	2021-11	5.2	
IRL	HUR	TOT	PC_LF	M	2021-12	5.1	
ITA	HUR	TOT	PC_LF	M	2019-12	9.7	
ITA	HUR	TOT	PC_LF	M	2020-01	9.6	
ITA	HUR	TOT	PC_LF	M	2020-02	9.6	
ITA	HUR	TOT	PC_LF	M	2020-03	7.8	
ITA	HUR	TOT	PC_LF	M	2020-04	7.5	
ITA	HUR	TOT	PC_LF	M	2020-05	8.7	
ITA	HUR	TOT	PC_LF	M	2020-06	9.6	
ITA	HUR	TOT	PC_LF	M	2020-07	10.1	
ITA	HUR	TOT	PC_LF	M	2020-08	9.9	
ITA	HUR	TOT	PC_LF	M	2020-09	10	
ITA	HUR	TOT	PC_LF	M	2020-10	10	
ITA	HUR	TOT	PC_LF	M	2020-11	9.5	
ITA	HUR	TOT	PC_LF	M	2020-12	9.8	
ITA	HUR	TOT	PC_LF	M	2021-01	10.2	
ITA	HUR	TOT	PC_LF	M	2021-02	10.1	
ITA	HUR	TOT	PC_LF	M	2021-03	10	
ITA	HUR	TOT	PC_LF	M	2021-04	10.1	
ITA	HUR	TOT	PC_LF	M	2021-05	9.8	
ITA	HUR	TOT	PC_LF	M	2021-06	9.4	
ITA	HUR	TOT	PC_LF	M	2021-07	9.1	
ITA	HUR	TOT	PC_LF	M	2021-08	9.2	
ITA	HUR	TOT	PC_LF	M	2021-09	9.1	
ITA	HUR	TOT	PC_LF	M	2021-10	9.3	
ITA	HUR	TOT	PC_LF	M	2021-11	9.1	
ITA	HUR	TOT	PC_LF	M	2021-12	9	
JPN	HUR	TOT	PC_LF	M	2019-12	2.2	
JPN	HUR	TOT	PC_LF	M	2020-01	2.4	
JPN	HUR	TOT	PC_LF	M	2020-02	2.4	
JPN	HUR	TOT	PC_LF	M	2020-03	2.5	
JPN	HUR	TOT	PC_LF	M	2020-04	2.6	
JPN	HUR	TOT	PC_LF	M	2020-05	2.8	
JPN	HUR	TOT	PC_LF	M	2020-06	2.8	
JPN	HUR	TOT	PC_LF	M	2020-07	2.9	
JPN	HUR	TOT	PC_LF	M	2020-08	3	
JPN	HUR	TOT	PC_LF	M	2020-09	3	
JPN	HUR	TOT	PC_LF	M	2020-10	3.1	
JPN	HUR	TOT	PC_LF	M	2020-11	3	
JPN	HUR	TOT	PC_LF	M	2020-12	3	
JPN	HUR	TOT	PC_LF	M	2021-01	2.9	
JPN	HUR	TOT	PC_LF	M	2021-02	2.9	
JPN	HUR	TOT	PC_LF	M	2021-03	2.6	
JPN	HUR	TOT	PC_LF	M	2021-04	2.8	
JPN	HUR	TOT	PC_LF	M	2021-05	3	
JPN	HUR	TOT	PC_LF	M	2021-06	2.9	
JPN	HUR	TOT	PC_LF	M	2021-07	2.8	
JPN	HUR	TOT	PC_LF	M	2021-08	2.8	
JPN	HUR	TOT	PC_LF	M	2021-09	2.8	
JPN	HUR	TOT	PC_LF	M	2021-10	2.7	
JPN	HUR	TOT	PC_LF	M	2021-11	2.8	
JPN	HUR	TOT	PC_LF	M	2021-12	2.7	
KOR	HUR	TOT	PC_LF	M	2019-12	3.7	
KOR	HUR	TOT	PC_LF	M	2020-01	3.9	
KOR	HUR	TOT	PC_LF	M	2020-02	3.4	
KOR	HUR	TOT	PC_LF	M	2020-03	3.8	
KOR	HUR	TOT	PC_LF	M	2020-04	3.8	
KOR	HUR	TOT	PC_LF	M	2020-05	4.3	
KOR	HUR	TOT	PC_LF	M	2020-06	4.2	
KOR	HUR	TOT	PC_LF	M	2020-07	4.1	
KOR	HUR	TOT	PC_LF	M	2020-08	3.3	
KOR	HUR	TOT	PC_LF	M	2020-09	4	
KOR	HUR	TOT	PC_LF	M	2020-10	4.2	
KOR	HUR	TOT	PC_LF	M	2020-11	4.2	
KOR	HUR	TOT	PC_LF	M	2020-12	4.5	
KOR	HUR	TOT	PC_LF	M	2021-01	5.4	
KOR	HUR	TOT	PC_LF	M	2021-02	4	
KOR	HUR	TOT	PC_LF	M	2021-03	3.9	
KOR	HUR	TOT	PC_LF	M	2021-04	3.7	
KOR	HUR	TOT	PC_LF	M	2021-05	3.8	
KOR	HUR	TOT	PC_LF	M	2021-06	3.7	
KOR	HUR	TOT	PC_LF	M	2021-07	3.3	
KOR	HUR	TOT	PC_LF	M	2021-08	2.8	
KOR	HUR	TOT	PC_LF	M	2021-09	3	
KOR	HUR	TOT	PC_LF	M	2021-10	3.2	
KOR	HUR	TOT	PC_LF	M	2021-11	3.1	
KOR	HUR	TOT	PC_LF	M	2021-12	3.8	
LUX	HUR	TOT	PC_LF	M	2019-12	5.6	
LUX	HUR	TOT	PC_LF	M	2020-01	5.7	
LUX	HUR	TOT	PC_LF	M	2020-02	5.7	
LUX	HUR	TOT	PC_LF	M	2020-03	6.5	
LUX	HUR	TOT	PC_LF	M	2020-04	7.4	
LUX	HUR	TOT	PC_LF	M	2020-05	7.7	
LUX	HUR	TOT	PC_LF	M	2020-06	7.6	
LUX	HUR	TOT	PC_LF	M	2020-07	7.1	
LUX	HUR	TOT	PC_LF	M	2020-08	6.7	
LUX	HUR	TOT	PC_LF	M	2020-09	6.5	
LUX	HUR	TOT	PC_LF	M	2020-10	6.2	
LUX	HUR	TOT	PC_LF	M	2020-11	6.2	
LUX	HUR	TOT	PC_LF	M	2020-12	6.4	
LUX	HUR	TOT	PC_LF	M	2021-01	6.3	
LUX	HUR	TOT	PC_LF	M	2021-02	6.2	
LUX	HUR	TOT	PC_LF	M	2021-03	6.1	
LUX	HUR	TOT	PC_LF	M	2021-04	6.1	
LUX	HUR	TOT	PC_LF	M	2021-05	5.9	
LUX	HUR	TOT	PC_LF	M	2021-06	5.6	
LUX	HUR	TOT	PC_LF	M	2021-07	5.5	
LUX	HUR	TOT	PC_LF	M	2021-08	5.3	
LUX	HUR	TOT	PC_LF	M	2021-09	5.2	
LUX	HUR	TOT	PC_LF	M	2021-10	5	
LUX	HUR	TOT	PC_LF	M	2021-11	5	
LUX	HUR	TOT	PC_LF	M	2021-12	5	
MEX	HUR	TOT	PC_LF	M	2019-12	3.203415	
MEX	HUR	TOT	PC_LF	M	2020-01	3.598796	
MEX	HUR	TOT	PC_LF	M	2020-02	3.556037	
MEX	HUR	TOT	PC_LF	M	2020-03	3.223095	B
MEX	HUR	TOT	PC_LF	M	2020-04	4.825917	
MEX	HUR	TOT	PC_LF	M	2020-05	4.309379	
MEX	HUR	TOT	PC_LF	M	2020-06	5.52929	B
MEX	HUR	TOT	PC_LF	M	2020-07	5.123737	
MEX	HUR	TOT	PC_LF	M	2020-08	4.947667	
MEX	HUR	TOT	PC_LF	M	2020-09	4.783014	
MEX	HUR	TOT	PC_LF	M	2020-10	4.609905	
MEX	HUR	TOT	PC_LF	M	2020-11	4.521331	
MEX	HUR	TOT	PC_LF	M	2020-12	4.219	
MEX	HUR	TOT	PC_LF	M	2021-01	4.465252	
MEX	HUR	TOT	PC_LF	M	2021-02	4.391537	
MEX	HUR	TOT	PC_LF	M	2021-03	4.291679	
MEX	HUR	TOT	PC_LF	M	2021-04	4.805423	
MEX	HUR	TOT	PC_LF	M	2021-05	4.121474	
MEX	HUR	TOT	PC_LF	M	2021-06	4.01773	
MEX	HUR	TOT	PC_LF	M	2021-07	4.17754	
MEX	HUR	TOT	PC_LF	M	2021-08	4.028196	
MEX	HUR	TOT	PC_LF	M	2021-09	3.883185	
MEX	HUR	TOT	PC_LF	M	2021-10	3.844718	
MEX	HUR	TOT	PC_LF	M	2021-11	3.768179	
MEX	HUR	TOT	PC_LF	M	2021-12	3.887654	
NLD	HUR	TOT	PC_LF	M	2019-12	4.3	
NLD	HUR	TOT	PC_LF	M	2020-01	4.1	
NLD	HUR	TOT	PC_LF	M	2020-02	4	
NLD	HUR	TOT	PC_LF	M	2020-03	4.1	
NLD	HUR	TOT	PC_LF	M	2020-04	4.5	
NLD	HUR	TOT	PC_LF	M	2020-05	4.6	
NLD	HUR	TOT	PC_LF	M	2020-06	5.4	
NLD	HUR	TOT	PC_LF	M	2020-07	5.5	
NLD	HUR	TOT	PC_LF	M	2020-08	5.5	
NLD	HUR	TOT	PC_LF	M	2020-09	5.4	
NLD	HUR	TOT	PC_LF	M	2020-10	5.3	
NLD	HUR	TOT	PC_LF	M	2020-11	5	
NLD	HUR	TOT	PC_LF	M	2020-12	4.9	
